doc_id,corpus,author,segment_id,marker,marker_group,marker_category,count,word_count,prevalence
The Arditi del Popolo_7.15.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1060,0
The Communists and the Elections_4.12.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1052,0
the conquest of the state_7.12.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,2212,0
the development of the revolution_9.13.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1469,0
The events of 2-3 December (1919)_12.6-13.19,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1841,0
The Genoa Conference and Italy (19 April 1922)_4.19.1922,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,673,0
The grimace of Gwynplaine_8.30.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,871,0
The parties and the Masses_9.25.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1382,0
the price of history_6.7.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1628,0
the problem of power_11.29.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1800,0
The Revolution against ‘Capital’_12.24.1917,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1311,0
The tactic of failure_9.22.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1112,0
The Turin factory council movement_3.14.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,2990,0
The two fascisms_8.25.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,879,0
The Vatican_3.12.1924,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1493,0
To the section commissars of the FIAT-Brevetti workshops_9.13.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1448,0
unions and councils_10.11.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1864,0
unions and the dictatorship_10.25.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1634,0
war is war_1.31.1921,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1201,0
workers' democracy_6.21.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1360,0
workers and peasants_1.3.1920,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,878,0
workers and peasants_8.2.1919,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1820,0
Hitler_Adolf_-_Mein_Kampf.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,7,272706,0.025668668822834848
Imperium - Yockey.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,3,185037,0.01621297362149192
islamic_government_governance_of_the_jurist.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,7,68475,0.10222709017889742
"Maududi, Sayyid Abul A'la - Al Jihad Fil Islam by Syed Abul Aala Maududi.pdf",non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,20,157148,0.12726856211978516
milestones-f1.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,1,68070,0.014690759512266784
patrick_crusius_-_the_inconvenient_truth_about_me.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,2420,0
"Pierce, William L. - FREE SPEECH ESSAYS 1995-2002.pdf_through_1998",non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,5,342494,0.014598795891314884
PortHuronStatement.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,8737,0
Revolt Against The Modern World - Julius Evola.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,1,194704,0.0051360013148163365
rodger_manifesto.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,109530,0
roofmanifesto.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,2460,0
"Russian Imperial Manifesto, Announcing the Start of War in August 1914.pdf",non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,447,0
ted-kaczynski-industrial-society-and-its-future-copy-sent-to-the-post.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,3,35252,0.08510155452172925
the-lawful-and-the-prohibited-in-islam_text.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,31,121566,0.2550055114094401
the state and revolution - lenin.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,40005,0
the urban guerilla concept.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,9362,0
universal declaration of human rights.pdf,non_longitudinal,NA,1,harm,dyadic_harm,harm_justification,0,1784,0
"A House of Many Mansions, 1940",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1780,0
"A Hush Over Europe, 1939",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1210,0
"Address to Joint Session of US Congress, 1941",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,3252,0
"Be Ye Men of Valour, 1940",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1394,0
"Blood, Toil, Tears and Sweat, 1940",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,731,0
"Bolshevism and Imperial Sedition, 1920",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1521,0
"Do Your Worst; We'll Do Our Best, 1941",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1236,0
"Every Man to His Post, 1940",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1277,0
"Fifty Years Hence, 1931",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,4151,0
"Give Us the Tools, 1941",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,2796,0
"I Have Watched This Famous Island..., 1938",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,4607,0
"Mass Effects in Modern Life, 1925",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,4034,0
"MIT Mid-Century Convocation, 1949",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,5135,0
"Never Give In, Never, Never, Never, 1941",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,736,0
"Penny-in-the-Slot Politics, 1934",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1776,0
"Some Chicken; Some Neck, 1941",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,3535,0
"The Council of Europe, 1949",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1972,0
"The Few, 1940",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,5109,0
The Fourth Climacteric. 1941,longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,2039,0
"The Invasion of France, 1944",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1586,0
"The Lights are Going Out (We Must Arm), 1938",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,2451,0
"The Old Lion, 1941",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,1120,0
"The Sinews of Peace, 1946",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,4872,0
"Their Finest Hour, 1940",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,4403,0
"War of the Unknown Warriors, 1940",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,2085,0
"War Speech, 1939",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,552,0
"We Shall Fight on the Beaches, 1940",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,3807,0
"Winston Churchill's Broadcast on the Soviet-German War, 1941",longitudinal,churchill,1,harm,dyadic_harm,harm_justification,0,2040,0
american_civilization.1945,longitudinal,evola,1,harm,dyadic_harm,harm_justification,0,3231,0
dark_age.1934,longitudinal,evola,1,harm,dyadic_harm,harm_justification,0,861,0
decadence.1928,longitudinal,evola,1,harm,dyadic_harm,harm_justification,0,559,0
degeneration.1938,longitudinal,evola,1,harm,dyadic_harm,harm_justification,0,2118,0
fascism.1928,longitudinal,evola,1,harm,dyadic_harm,harm_justification,0,1081,0
jihad.1934,longitudinal,evola,1,harm,dyadic_harm,harm_justification,0,2102,0
neo-pagans.1942,longitudinal,evola,1,harm,dyadic_harm,harm_justification,0,2536,0
occult.1953,longitudinal,evola,1,harm,dyadic_harm,harm_justification,0,1025,0
Against Pessimism_4.15.1924,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1943,0
character_3.3.1917,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,582,0
chronicles of the new order_9.13.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,507,0
For an ideological preparation of the masses_3-4.1925,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,3333,0
Lessons_5.5.1922,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,930,0
Maximalism and Extremism_7.2.1925,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,436,0
